Start clk       Shift Register        Result  Stop 
 0     0   0xxxxxxxxxxxxxxxxxxxxxxx  0.000000   x
 1     1   0xxxxxxxxxxxxxxxxxxxxxxx  0.000000   0
 1     0   100000000000000000000000  0.000000   0
 1     1   100000000000000000000000  0.000000   0
 1     0   100000000000000000000000  0.000000   0
 0     1   100000000000000000000000  0.000000   0
 0     0   010000000000000000000000  0.000000   0
 0     1   010000000000000000000000  0.000000   0
 0     0   001000000000000000000000  0.000000   0
 0     1   001000000000000000000000  0.000000   0
 0     0   000100000000000000000000 32.000000   0
 0     1   000100000000000000000000 32.000000   0
 0     0   000010000000000000000000 32.000000   0
 0     1   000010000000000000000000 32.000000   0
 0     0   000001000000000000000000 40.000000   0
 0     1   000001000000000000000000 40.000000   0
 0     0   000000100000000000000000 44.000000   0
 0     1   000000100000000000000000 44.000000   0
 0     0   000000010000000000000000 44.000000   0
 0     1   000000010000000000000000 44.000000   0
 0     0   000000001000000000000000 44.000000   0
 0     1   000000001000000000000000 44.000000   0
 0     0   000000000100000000000000 44.500000   0
 0     1   000000000100000000000000 44.500000   0
 0     0   000000000010000000000000 44.500000   0
 0     1   000000000010000000000000 44.500000   0
 0     0   000000000001000000000000 44.625000   0
 0     1   000000000001000000000000 44.625000   0
 0     0   000000000000100000000000 44.687500   0
 0     1   000000000000100000000000 44.687500   0
 0     0   000000000000010000000000 44.718750   0
 0     1   000000000000010000000000 44.718750   0
 0     0   000000000000001000000000 44.718750   0
 0     1   000000000000001000000000 44.718750   0
 0     0   000000000000000100000000 44.718750   0
 0     1   000000000000000100000000 44.718750   0
 0     0   000000000000000010000000 44.722656   0
 0     1   000000000000000010000000 44.722656   0
 0     0   000000000000000001000000 44.724609   0
 0     1   000000000000000001000000 44.724609   0
 0     0   000000000000000000100000 44.725586   0
 0     1   000000000000000000100000 44.725586   0
 0     0   000000000000000000010000 44.726074   0
 0     1   000000000000000000010000 44.726074   0
 0     0   000000000000000000001000 44.726318   0
 0     1   000000000000000000001000 44.726318   0
 0     0   000000000000000000000100 44.726318   0
 0     1   000000000000000000000100 44.726318   0
 0     0   000000000000000000000010 44.726379   0
 0     1   000000000000000000000010 44.726379   0
 0     0   000000000000000000000001 44.726379   0
 0     1   000000000000000000000000 44.726379   1
 0     0   000000000000000000000000 44.726379   1
 0     1   000000000000000000000000 44.726379   1
 0     0   000000000000000000000000 44.726379   1
 0     1   000000000000000000000000 44.726379   1
 0     0   000000000000000000000000 44.726379   1
 0     1   000000000000000000000000 44.726379   1
 0     0   000000000000000000000000 44.726379   1
 0     1   000000000000000000000000 44.726379   1
 0     0   000000000000000000000000 44.726379   1
 0     1   000000000000000000000000 44.726379   1
 0     0   000000000000000000000000 44.726379   1
 0     1   000000000000000000000000 44.726379   1
 0     0   000000000000000000000000 44.726379   1
 0     1   000000000000000000000000 44.726379   1
